Commande incorrecte.
NbreBits=200 Enregistrement brut
  0   677  |  22   601  |  44 89232  |  66  2041  |  88   526  | 110   374  | 132   753  | 154   753  | 176  2041  |
  1 18782  |  23  1965  |  45   298  |  67  4692  |  89   677  | 111  4692  | 133  1738  | 155  1738  | 177   601  |
  2   677  |  24   601  |  46  1435  |  68   298  |  90   526  | 112   374  | 134  2041  | 156   753  | 178   677  |
  3  1738  |  25   677  |  47   298  |  69  2571  |  91   601  | 113   753  | 135   526  | 157  1738  | 179 18706  |
  4   677  |  26  1813  |  48   904  |  70   525  |  92   450  | 114  1056  | 136   753  | 158  2041  | 180   753  |
  5  1813  |  27   601  |  49   374  |  71  1132  |  93  1056  | 115   601  | 137  1738  | 159   526  | 181  1738  |
  6  1965  |  28  1813  |  50 85823  |  72   601  |  94   526  | 116  1359  | 138   753  | 160   753  | 182   677  |
  7   601  |  29  2647  |  51   374  |  73   374  |  95  5828  | 117   980  | 139  1738  | 161  1738  | 183  3783  |
  8   677  |  30   601  |  52 10828  |  74   298  |  96   374  | 118    71  | 140   753  | 162  2041  | 184   677  |
  9  1813  |  31  1813  |  53   223  |  75   677  |  97   526  | 119   526  | 141  1738  | 163   601  | 185   601  |
 10   677  |  32  1965  |  54  4919  |  76   374  |  98   526  | 120   374  | 142  2041  | 164   677  | 186  1889  |
 11  1738  |  33   601  |  55   374  |  77  1889  |  99  1056  | 121   147  | 143   526  | 165  1738  | 187   601  |
 12   677  |  34   677  |  56  4313  |  78   374  | 100   374  | 122  1056  | 144   753  | 166  2116  | 188  1889  |
 13  1813  |  35  1813  |  57   223  |  79  1207  | 101  1283  | 123   374  | 145  1738  | 167   526  | 189   601  |
 14  2571  |  36  2041  |  58  4313  |  80   298  | 102   374  | 124  1662  | 146  2041  | 168   753  | 190  1889  |
 15   677  |  37127941  |  59   222  |  81   526  | 103  1435  | 125   450  | 147   526  | 169  1738  | 191  1889  |
 16  1813  |  38506476  |  60  1283  |  82   601  | 104   601  | 126  2495  | 148   753  | 170   677  | 192   677  |
 17  1965  |  39   526  |  61   753  |  83   601  | 105  3101  | 127   450  | 149  1738  | 171  1813  | 193   601  |
 18   601  |  40  2571  |  62   298  |  84   526  | 106   601  | 128  1283  | 150  2041  | 172   677  | 194  1889  |
 19   677  |  41   374  |  63   450  |  85  3404  | 107  4162  | 129 18555  | 151   601  | 173  1813  | 195  1965  |
 20  1813  |  42  1510  |  64  2722  |  86   526  | 108   904  | 130   753  | 152  2041  | 174   677  | 196   677  |
 21  1965  |  43   450  |  65   223  |  87   753  | 109  2344  | 131  1738  | 153   526  | 175  1738  | 197   601  |

