NbreBits=200 Protocole Fobloqs
  1   6813 S|  21    751 0|  41    774 0|  61   1580 1|  81    832 0| 101    844 0| 121    753 0| 141    822 0| 161    182 ?|
  2   2071 ?|  22    842 0|  42    823 0|  62    847 0|  82    767 0| 102    756 0| 122    841 0| 142    775 0| 162   1942 ?|
  3   5562 ?|  23    758 0|  43    775 0|  63    755 0|  83    828 0| 103   1621 1| 123    759 0| 143   1606 1| 163    254 ?|
  4   1031 ?|  24    836 0|  44    822 0|  64   1622 1|  84    770 0| 104    804 0| 124    836 0| 144   1597 1| 164   1869 ?|
  5   6917 S|  25    763 0|  45   3141 D|  65   1586 1|  85   1611 1| 105    799 0| 125    763 0| 145    834 0| 165   1066 ?|
  6   1127 ?|  26    832 0|  46    926 0|  66    841 0|  86    812 0| 106    795 0| 126   1608 1| 146    766 0| 166    494 ?|
  7    533 ?|  27    766 0|  47   1476 1|  67    760 0|  87    791 0| 107    806 0| 127    828 0| 147    828 0| 167    663 ?|
  8   1014 ?|  28    830 0|  48    929 0|  68    835 0|  88   1583 1| 108   1574 1| 128    769 0| 148    770 0| 168    784 0|
  9    611 ?|  29    769 0|  49    685 ?|  69    763 0|  89    844 0| 109   1634 1| 129    827 0| 149    827 0| 169    795 0|
 10    957 0|  30    828 0|  50   1676 1|  70   1616 1|  90    758 0| 110    795 0| 130    771 0| 150    772 0| 170    353 ?|
 11    659 ?|  31    770 0|  51   1545 1|  71   1590 1|  91   1620 1| 111    806 0| 131    826 0| 151   2401 ?| 171    612 ?|
 12    919 0|  32    825 0|  52   1654 1|  72   1622 1|  92    805 0| 112    789 0| 132    772 0| 152   6814 S| 172    423 ?|
 13    692 ?|  33    772 0|  53    779 0|  73    804 0|  93    797 0| 113    810 0| 133    824 0| 153    611 ?| 173     96 ?|
 14    891 0|  34    824 0|  54    820 0|  74    797 0|  94    796 0| 114    786 0| 134    774 0| 154   7025 S| 174    880 0|
 15    716 ?|  35    773 0|  55   1561 1|  75   1580 1|  95    804 0| 115    814 0| 135    823 0| 155   1029 ?| 175    529 ?|
 16    872 0|  36    824 0|  56    862 0|  76    847 0|  96    791 0| 116    783 0| 136    774 0| 156   6630 S| 176    413 ?|
 17    732 ?|  37    775 0|  57    742 0|  77    754 0|  97    809 0| 117    816 0| 137    823 0| 157  43400 ?| 177    190 ?|
 18    859 0|  38    823 0|  58   1631 1|  78    840 0|  98   1571 1| 118   1565 1| 138    775 0| 158   3052 D| 178    109 ?|
 19    743 0|  39    775 0|  59   1579 1|  79    761 0|  99    854 0| 119    858 0| 139    822 0| 159     57 ?| 179    269 ?|
 20    849 0|  40    823 0|  60   1631 1|  80   1606 1| 100    749 0| 120   1601 1| 140    775 0| 160   3115 D| 180    620 ?|
Fobloqs=6813
NbreBits=200 Protocole Fobloqs
  1   6813 S|  21    752 0|  41    774 0|  61    790 0|  81    752 0| 101    857 0| 121    858 0| 141    822 0| 161   4330 ?|
  2   2073 ?|  22    842 0|  42    822 0|  62    810 0|  82   1624 1| 102    747 0| 122    745 0| 142    775 0| 162     42 ?|
  3   5560 ?|  23    759 0|  43    775 0|  63    785 0|  83    801 0| 103    846 0| 123    848 0| 143    823 0| 163   1047 ?|
  4   1031 ?|  24    835 0|  44    822 0|  64    815 0|  84    800 0| 104    754 0| 124    754 0| 144    774 0| 164     39 ?|
  5   6919 S|  25    764 0|  45   3139 D|  65    782 0|  85    795 0| 105   1622 1| 125    841 0| 145    823 0| 165   1047 ?|
  6   1125 ?|  26    832 0|  46    928 0|  66    816 0|  86    805 0| 106    802 0| 126    759 0| 146    775 0| 166    391 ?|
  7    534 ?|  27    766 0|  47    686 ?|  67   1565 1|  87    790 0| 107    801 0| 127    835 0| 147   1605 1| 167    302 ?|
  8   1014 ?|  28    830 0|  48    897 0|  68   1639 1|  88    810 0| 108    793 0| 128    764 0| 148   1598 1| 168     74 ?|
  9    611 ?|  29    768 0|  49   1499 1|  69    790 0|  89   1570 1| 109    805 0| 129    832 0| 149    833 0| 169    758 0|
 10    956 0|  30    829 0|  50   1688 ?|  70    811 0|  90    856 0| 110   1574 1| 130    766 0| 150    767 0| 170    336 ?|
 11    661 ?|  31    770 0|  51   1539 1|  71    785 0|  91    748 0| 111   1634 1| 131    830 0| 151    829 0| 171     17 ?|
 12    918 0|  32    827 0|  52    879 0|  72    813 0|  92   1627 1| 112    795 0| 132    770 0| 152    769 0| 172    180 ?|
 13    693 ?|  33    771 0|  53    728 ?|  73    783 0|  93    799 0| 113    807 0| 133    827 0| 153   1605 1| 173    716 ?|
 14    891 0|  34    825 0|  54   1643 1|  74    815 0|  94    803 0| 114    789 0| 134    771 0| 154   2401 ?| 174    556 ?|
 15    716 ?|  35    774 0|  55    786 0|  75   1565 1|  95   1607 1| 115    811 0| 135    825 0| 155   6813 S| 175    179 ?|
 16    872 0|  36    823 0|  56    814 0|  76   1640 1|  96    787 0| 116    785 0| 136    773 0| 156    611 ?| 176     17 ?|
 17    732 ?|  37    775 0|  57    782 0|  77   1573 1|  97    811 0| 117    813 0| 137    824 0| 157   7024 S| 177     35 ?|
 18    859 0|  38    823 0|  58    817 0|  78   1634 1|  98    784 0| 118    783 0| 138    774 0| 158   1029 ?| 178    780 0|
 19    743 0|  39    774 0|  59   1564 1|  79   1577 1|  99    814 0| 119    815 0| 139    824 0| 159   6630 S| 179    307 ?|
 20    849 0|  40    824 0|  60   1640 1|  80    850 0| 100   1567 1| 120   1566 1| 140    774 0| 160  43390 ?| 180    219 ?|
